Título do Curso,certificado,site do curso
Quickstart: LangChain Essentials - Python,https://academy.langchain.com/certificates/kvgycfylre,https://academy.langchain.com/courses/take/langchain-essentials-python/lessons/69387052-overview
AI Agents Fundamentals,,https://huggingface.co/learn/agents-course/unit0/introduction
"A/B Testing in Python",https://www.datacamp.com/completed/statement-of-accomplishment/course/38a3fd593a1443698052e60ed67e7423b69755e4,https://www.datacamp.com/completed/statement-of-accomplishment/course/38a3fd593a1443698052e60ed67e7423b69755e4
Introduction to Data Ethics,https://www.datacamp.com/completed/statement-of-accomplishment/course/78f904eefca62f5bd7562ec7f589abe2e284943d,https://www.datacamp.com/completed/statement-of-accomplishment/course/78f904eefca62f5bd7562ec7f589abe2e284943d
Reinforcement Learning with Gymnasium in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/ea7e22331d83889a8f5ab75667527a7bf3ee10f8,https://www.datacamp.com/completed/statement-of-accomplishment/course/ea7e22331d83889a8f5ab75667527a7bf3ee10f8
Introduction to Deep Learning with PyTorch,https://www.datacamp.com/completed/statement-of-accomplishment/course/ce3f4796e6e646a9f311a9ea48725fc63b85bfdb,https://www.datacamp.com/completed/statement-of-accomplishment/course/ce3f4796e6e646a9f311a9ea48725fc63b85bfdb
Power Apps: Desenvolvimento de Aplicativos Empresariais,https://www.udemy.com/certificate/UC-2604c212-4c00-4c9b-a905-8a7980f8c8cf/,https://www.udemy.com/course/aplicativos-com-powerapps-aprenda-desenvolvendo/
Supervised Learning with scikit-learn,https://www.datacamp.com/completed/statement-of-accomplishment/course/33a61249827702fbc41e6798ed54afac6ca5e8dd,https://www.datacamp.com/completed/statement-of-accomplishment/course/33a61249827702fbc41e6798ed54afac6ca5e8dd
Santander Bootcamp 2023 - Ciência de Dados com Python,https://www.dio.me/certificate/0F3389AE/share,https://app.santanderopenacademy.com/pt/program/bolsas-santander-santander-bootcamp-2023
"Fundamentos: dados, dados, em todos os lugares",https://www.coursera.org/account/accomplishments/certificate/B6HHWSEXU5VT,
"Data Manipulation with pandas",https://www.datacamp.com/completed/statement-of-accomplishment/course/da285680eeccf6ef59e810dfd7bfaef82314ab81,https://www.datacamp.com/completed/statement-of-accomplishment/course/da285680eeccf6ef59e810dfd7bfaef82314ab81
Introduction to SQL,https://www.datacamp.com/completed/statement-of-accomplishment/course/5a0cd737cfd94c151436aa0565f6f002bb4d1150,https://www.datacamp.com/completed/statement-of-accomplishment/course/5a0cd737cfd94c151436aa0565f6f002bb4d1150
"Curso de Excel do Básico ao Avançado, Macro e VBA + Power BI",https://www.udemy.com/certificate/UC-5495b43c-cc28-47b6-b661-8a34eba3ad72/,https://www.udemy.com/course/excel-basico-ao-avancado-aprenda-a-automatizar-12-planilhas/
Power BI Completo - Do Básico ao Avançado,https://www.udemy.com/certificate/UC-ff451954-5f09-406b-8ec9-3ba2ab617c0e/,https://www.udemy.com/course/power-bi-completo-do-basico-ao-avancado/
